"rank","drug","substance","event","peak_eb05","adj_eb05","n_methods_flagged","quarters","first_signal","latest_signal","first_approval","years_on_market","atc_class","triage","triage_reason","watch"
1,"sestamibi",,"Scan myocardial perfusion abnormal",45695.25,45695.25,3,4,"2021Q3","2022Q2",,,"Other antineoplastic agents (cont.)","","",""
2,"statrol",,"False negative investigation result",41656.92,41656.92,3,6,"2018Q2","2020Q1",,,"Other antineoplastic agents (cont.)","","",""
3,"ultra-technekow","sodium pertechnetate (99m tc)","Scan myocardial perfusion abnormal",41573.54,41573.54,3,4,"2020Q4","2021Q3",,,"","","",""
4,"bimatoprost","bimatoprost","Corneal endothelial cell loss",38509.66,38509.66,3,4,"2018Q2","2019Q1","2001-03-16",25.1,"Prostaglandin analogues","","",""
5,"radicut bag for i v infusion",,"Amyotrophic lateral sclerosis",35410.27,35410.27,4,15,"2017Q2","2021Q4",,,"Other antineoplastic agents (cont.)","","",""
6,"fedratinib","fedratinib","Vitamin B1 decreased",31307.3,31307.3,3,10,"2020Q1","2022Q2",,,"JAK inhibitors","","",""
7,"narcan","naloxone","Unintentional use for unapproved indication",29327.65,29327.65,4,13,"2018Q4","2022Q2",,,"Peripheral opioid receptor antagonists","","",""
8,"pitocin","oxytocin","Postpartum haemorrhage",29226.35,29226.35,4,7,"2017Q4","2022Q3","1982-01-01",44.3,"Oxytocin and analogues","","",""
9,"lopinavir ritonavir","lopinavir;ritonavir","Dyslipidaemia",29074.83,29074.83,4,18,"2013Q3","2022Q3",,,"","","",""
10,"bupivacaine hydrochloride anhydrous",,"Anaesthetic complication",28893.17,28893.17,3,7,"2020Q1","2021Q3",,,"Other antineoplastic agents (cont.)","","",""
11,"antihemophilic factor, porcine",,"Factor VIII inhibition",28147.96,28147.96,4,12,"2016Q2","2019Q1",,,"Other antineoplastic agents (cont.)","","",""
12,"dapsone","dapsone","Methaemoglobinaemia",28067.19,28067.19,4,14,"2018Q2","2022Q3","1982-01-01",44.3,"Other anti-acne preparations for topical use","","",""
13,"fedratinib","fedratinib","Vitamin B1 deficiency",27587.89,27587.89,3,9,"2020Q1","2022Q1",,,"JAK inhibitors","","",""
14,"voraxaze","glucarpidase","Laboratory test interference",26766.35,26766.35,4,10,"2018Q1","2022Q1",,,"Detoxifying agents for antineoplastic treatment","","",""
15,"cloruro de sodio usp",,"Pantoea agglomerans infection",26608.88,26608.88,3,5,"2020Q3","2021Q3",,,"Other antineoplastic agents (cont.)","","",""
16,"sinuva","mometasone","Nasal crusting",26488.59,26488.59,4,8,"2020Q4","2022Q3",,,"Corticosteroids, potent (group III)","","",""
17,"diluent glycerin",,"False positive investigation result",26472.97,26472.97,3,4,"2018Q2","2019Q1",,,"Other antineoplastic agents (cont.)","","",""
18,"technescan hdp","technetium tc 99m oxidronate","Bone scan abnormal",26236.93,26236.93,3,8,"2019Q4","2022Q3",,,"Technetium (99mTc) compounds, skeletal","","",""
19,"meningococcal group b vaccine","meningococcal vaccine","Meningococcal infection",24081.13,24081.13,4,12,"2018Q3","2021Q4",,,"Meningococcal vaccines","","",""
20,"curosurf","poractant alfa","Endotracheal intubation complication",22693.61,22693.61,4,6,"2021Q1","2022Q3",,,"","","",""
21,"sifrol","pramipexole","Impulse-control disorder",21765.9,21765.9,3,4,"2018Q2","2019Q1",,,"Dopamine agonists","","",""
22,"tae bulk 402","alternaria spp","Injection site dryness",21575.16,21575.16,3,3,"2018Q3","2019Q1",,,"","","",""
23,"meningococcal b recom vaccine aloh omv",,"Vaccination failure",21274.24,21274.24,4,11,"2016Q4","2020Q4",,,"Other antineoplastic agents (cont.)","","",""
24,"meningococcal b recom vaccine aloh omv",,"Meningococcal infection",20786.42,20786.42,4,12,"2016Q3","2020Q4",,,"Other antineoplastic agents (cont.)","","",""
25,"oxytocin sodium chloride - human compounded drug",,"Postpartum haemorrhage",20344.19,20344.19,3,1,"2024Q4","2024Q4",,,"Other antineoplastic agents (cont.)","","",""
26,"sb497115","eltrombopag","Clonal evolution",20218.93,20218.93,3,3,"2018Q4","2019Q4",,,"Other systemic hemostatics","","",""
